爱情	(romantic) love
开玩笑	joke; play a joke; make fun of
开心	feel happy; have a great time; make fun of somebody
看法	point of view; opinion
考虑	think over; consider
烤鸭	roast duck
科学	science; scientific knowledge
棵	(mw for plants)
咳嗽	to cough
可怜	pitiful; poor; pathetic
可是	but; however
可惜	it's a pity; regrettable; too bad
客厅	living room; parlor
肯定	sure; definite; affirm; approve
空	empty; sky | leave blank; leisure
空气	air
恐怕	be afraid; to fear; I'm afraid that...
苦	bitter; miserable
矿泉水	mineral water
困	sleepy; surround; hard-pressed
困难	difficulty; difficult; problem
垃圾桶	garbage can
拉	to pull; to play (string instruments); to drag
辣	hot (spicy)
来不及	there's not enough time (to do something); it's too late
来得及	there's still time
来自	come from (a place)
懒	lazy
浪费	to waste; squander
浪漫	romantic
老虎	tiger
冷静	calm; cool-headed; sober
礼拜天	Sunday
礼貌	courtesy; politeness; manners
理发	a barber, hairdressing; haircut
理解	comprehend; understand
理想	ideal
力气	physical strength; effort
厉害	terrible; formidable; fierce; cool; awesome
例如	for example; for instance
俩	(colloquial) two (people)
连	even; including; join
联系	integrate; link; connection; contact
凉快	nice and cool; pleasantly cool
零钱	small change (of money)
另外	another; in addition; besides
留	to leave (behind, a message); to retain; to stay
流利	fluent
流行	spread; prevalent; be popular
旅行	travel
律师	lawyer
乱	disorder; confusion; arbitrarily
麻烦	trouble (someone); troubling; bothersome
马虎	careless; sloppy; casual
满	full; abbreviation for Manchurian
毛	hair; fur; feather; dime (Kangxi radical 82)
毛巾	towel; washcloth
美丽	beautiful
梦	to dream
迷路	to get lost
密码	password; secret code
免费	free (of charge); no cost
秒	second (unit of time or angle)
民族	nationality; ethnic group
母亲	mother
目的	purpose; aim; goal
耐心	to be patient
难道	could it be that ...?; don't tell me ...
难受	feel unwell; to suffer pain
内	inside; inner; internal; within
内容	content; substance; details
能力	capability; capable; ability
年龄	(a person's) age
弄	do; manage; to handle; make
暖和	warm; nice and warm
偶尔	occasionally; once in a while; sometimes
排队	queue; stand in line
排列	arrange; align; permutation
判断	to judge; judgment; to decide
陪	accompany; keep company
批评	criticize
皮肤	skin
脾气	temperament; disposition; temper
篇	sheet; (mw for articles); piece of writing
骗	to cheat; to swindle; deceive
乒乓球	ping pong; table tennis
平时	ordinarily; in normal times; in peacetime
破	broken; damaged; to split
葡萄	grape
普遍	common; universal; general; widespread
普通话	Mandarin (common language)
其次	next; secondly
其中	among; in; included among these
气候	climate; atmosphere; weather
千万	ten million; be sure to; must
签证	visa
敲	knock; blackmail
桥	bridge
巧克力	chocolate
亲戚	a relative (i.e. family relation)
轻	light; easy; gentle; soft
轻松	relaxed; gentle; easygoing
情况	circumstance; state of affairs; situation
穷	poor; exhausted
区别	difference; distinguish
取	to take; get; choose
全部	whole; entire; complete
缺点	weak point; defect; fault; shortcoming
缺少	to lack; be short of; be deficient in
却	but; yet; however
确实	indeed; in truth; reliable
然而	however; yet; but
热闹	bustling; lively; busy
任何	any; whatever; whichever
任务	a mission; an assignment; a task
扔	to throw; throw away
仍然	still; yet
日记	diary
入口	entrance
散步	to go for a walk
森林	forest
沙发	sofa
伤心	sad; grieve; brokenhearted
商量	consult; talk over; discuss
稍微	a little bit; slightly
勺子	spoon; scoop; ladle
社会	society
申请	apply for; application
深	deep; profound; dark (of colors)
甚至	even (to the point of); so much so that
生活	life; livelihood; to live
生命	life
生意	business; trade
